period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
1,1,1,1,0.0,0.0
1,1,1,2,0.0,0.0
1,1,1,3,0.0,0.0
1,1,2,1,0.0,0.0
1,1,2,2,0.0,0.0
1,1,2,3,0.0,0.0
1,1,3,1,0.0,0.0
1,1,3,2,0.0,0.0
1,1,3,3,0.0,0.0
1,1,4,1,0.0,0.0
1,1,4,2,0.0,0.0
1,1,4,3,0.0,0.0
1,2,1,1,10.0,10.0
1,2,1,2,10.0,10.0
1,2,1,3,50.0,4.285714
1,2,2,1,50.0,50.0
1,2,2,2,50.0,50.0
1,2,2,3,50.0,50.0
1,2,3,1,0.0,0.0
1,2,3,2,0.0,0.0
1,2,3,3,0.0,0.0
1,2,4,1,10.0,10.0
1,2,4,2,10.0,10.0
1,2,4,3,10.0,10.0
1,3,1,1,200.0,200.0
1,3,1,2,1250.0,50.0
1,3,1,3,200.0,200.0
1,3,2,1,200.0,200.0
1,3,2,2,900.0,100.0
1,3,2,3,200.0,200.0
1,3,3,1,100.0,100.0
1,3,3,2,730.0,10.0
1,3,3,3,100.0,100.0
1,3,4,1,100.0,100.0
1,3,4,2,450.0,50.0
1,3,4,3,100.0,100.0
