period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
1,1,1,1,140.0,0.0
1,1,1,2,140.0,0.0
1,1,1,3,140.0,0.0
1,1,2,1,140.0,0.0
1,1,2,2,140.0,0.0
1,1,2,3,140.0,0.0
1,1,3,1,140.0,0.0
1,1,3,2,140.0,0.0
1,1,3,3,140.0,0.0
1,1,4,1,140.0,0.0
1,1,4,2,140.0,0.0
1,1,4,3,140.0,0.0
1,2,1,1,60.0,0.0
1,2,1,2,60.0,0.0
1,2,1,3,60.0,0.0
1,2,2,1,60.0,0.0
1,2,2,2,60.0,0.0
1,2,2,3,60.0,0.0
1,2,3,1,60.0,0.0
1,2,3,2,60.0,0.0
1,2,3,3,60.0,0.0
1,2,4,1,60.0,0.0
1,2,4,2,60.0,0.0
1,2,4,3,60.0,0.0
1,3,1,1,10.0,0.0
1,3,1,2,10.0,0.0
1,3,1,3,10.0,0.0
1,3,2,1,10.0,0.0
1,3,2,2,10.0,0.0
1,3,2,3,10.0,0.0
1,3,3,1,10.0,0.0
1,3,3,2,10.0,0.0
1,3,3,3,10.0,0.0
1,3,4,1,10.0,0.0
1,3,4,2,10.0,0.0
1,3,4,3,10.0,0.0
