period,scenario,subscenario,subperiod,ThermalA_01 - Eastern,ThermalA_01 - Western,PortfolioA_01 - Eastern,PortfolioA_01 - Western,PortfolioA_02 - Eastern,PortfolioA_02 - Western,PricetakerA_01 - Eastern,PricetakerA_01 - Western,SelfproducerA_01 - Eastern,SelfproducerA_01 - Western,UpstreamA_01 - Eastern,UpstreamA_01 - Western,DownstreamA_01 - Eastern,DownstreamA_01 - Western
1,1,1,1,-0.002319,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,8000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.067383,0.0,0.0,4000.0,0.0,28000.0,0.0
1,1,2,1,-0.002319,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,3,8000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.067383,0.0,0.0,4000.0,0.0,28000.0,0.0
1,1,3,1,0.003159,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,3,0.000977,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,1,4,1,0.003159,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,3,0.000977,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,2,1,1,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,770.0,0.0,5389.999512,0.0
1,2,1,2,-0.004669,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,230.0,0.0,1610.0,0.0
1,2,1,3,8000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.067383,0.0,0.0,4000.0,0.0,28000.0,0.0
1,2,2,1,8000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,-0.023438,0.0,3400.000244,0.0,23800.0,0.0
1,2,2,2,8000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,1600.000122,0.0,11200.0,0.0
1,2,2,3,8000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.067383,0.0,0.0,4000.0,0.0,28000.0,0.0
1,2,3,1,0.003159,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
