period,scenario,sfe_iteration,sfe_curve_segment,reservoir_1 - asset_owner_1,reservoir_1 - asset_owner_2,reservoir_1 - asset_owner_3,reservoir_1 - asset_owner_4
1,1,1,1,540000,540000,360000,360000
1,1,1,2,263301,263301,154000,154000
1,1,1,3,231000,231000,136256,136256
1,1,1,4,77530.6,77530.6,22000,22000
1,1,1,5,33000,33000,21831.4,21831.4
1,1,1,6,3675.98,3675.98,-0,-0
1,1,1,7,0,0,-0,-0
1,1,1,8,0,0,0,0
1,1,1,9,0,0,0,0
1,1,1,10,0,0,0,0
1,1,1,11,0,0,0,0
1,1,1,12,0,0,0,0
1,1,1,13,0,0,0,0
1,1,1,14,0,0,0,0
1,1,1,15,0,0,0,0
1,1,1,16,0,0,0,0
1,1,1,17,0,0,0,0
1,1,1,18,0,0,0,0
1,1,1,19,0,0,0,0
1,1,1,20,0,0,0,0
1,1,1,21,0,0,0,0
1,1,1,22,0,0,0,0
1,1,1,23,0,0,0,0
1,1,1,24,0,0,0,0
1,1,1,25,0,0,0,0
1,1,1,26,0,0,0,0
1,1,1,27,0,0,0,0
1,1,1,28,0,0,0,0
1,1,1,29,0,0,0,0
1,1,1,30,0,0,0,0
1,1,1,31,0,0,0,0
1,1,1,32,0,0,0,0
1,1,1,33,0,0,0,0
1,1,1,34,0,0,0,0
1,1,1,35,0,0,0,0
1,1,1,36,0,0,0,0
1,1,1,37,0,0,0,0
1,1,1,38,0,0,0,0
1,1,1,39,0,0,0,0
1,1,1,40,0,0,0,0
1,1,1,41,0,0,0,0
1,1,2,1,540000,540000,360000,360000
1,1,2,2,272215,272215,154000,154000
1,1,2,3,231000,231000,129939,129939
1,1,2,4,90687.5,90687.5,22000,22000
1,1,2,5,33000,33000,21738.7,21738.7
1,1,2,6,4741.2,4741.2,0,0
1,1,2,7,0,0,0,0
1,1,2,8,0,0,0,0
1,1,2,9,0,0,0,0
1,1,2,10,0,0,0,0
1,1,2,11,0,0,0,0
1,1,2,12,0,0,0,0
1,1,2,13,0,0,0,0
1,1,2,14,0,0,0,0
1,1,2,15,0,0,0,0
1,1,2,16,0,0,0,0
1,1,2,17,0,0,0,0
1,1,2,18,0,0,0,0
1,1,2,19,0,0,0,0
1,1,2,20,0,0,0,0
1,1,2,21,0,0,0,0
1,1,2,22,0,0,0,0
1,1,2,23,0,0,0,0
1,1,2,24,0,0,0,0
1,1,2,25,0,0,0,0
1,1,2,26,0,0,0,0
1,1,2,27,0,0,0,0
1,1,2,28,0,0,0,0
1,1,2,29,0,0,0,0
1,1,2,30,0,0,0,0
1,1,2,31,0,0,0,0
1,1,2,32,0,0,0,0
1,1,2,33,0,0,0,0
1,1,2,34,0,0,0,0
1,1,2,35,0,0,0,0
1,1,2,36,0,0,0,0
1,1,2,37,0,0,0,0
1,1,2,38,0,0,0,0
1,1,2,39,0,0,0,0
1,1,2,40,0,0,0,0
1,1,2,41,0,0,0,0
1,1,3,1,540000,540000,360000,360000
1,1,3,2,275320,275320,154000,154000
1,1,3,3,231000,231000,127568,127568
1,1,3,4,95360.6,95360.6,22000,22000
1,1,3,5,33000,33000,21698.7,21698.7
1,1,3,6,5120.38,5120.38,0,0
1,1,3,7,0,0,0,0
1,1,3,8,0,0,0,0
1,1,3,9,0,0,0,0
1,1,3,10,0,0,0,0
1,1,3,11,0,0,0,0
1,1,3,12,0,0,0,0
1,1,3,13,0,0,0,0
1,1,3,14,0,0,0,0
1,1,3,15,0,0,0,0
1,1,3,16,0,0,0,0
1,1,3,17,0,0,0,0
1,1,3,18,0,0,0,0
1,1,3,19,0,0,0,0
1,1,3,20,0,0,0,0
1,1,3,21,0,0,0,0
1,1,3,22,0,0,0,0
1,1,3,23,0,0,0,0
1,1,3,24,0,0,0,0
1,1,3,25,0,0,0,0
1,1,3,26,0,0,0,0
1,1,3,27,0,0,0,0
1,1,3,28,0,0,0,0
1,1,3,29,0,0,0,0
1,1,3,30,0,0,0,0
1,1,3,31,0,0,0,0
1,1,3,32,0,0,0,0
1,1,3,33,0,0,0,0
1,1,3,34,0,0,0,0
1,1,3,35,0,0,0,0
1,1,3,36,0,0,0,0
1,1,3,37,0,0,0,0
1,1,3,38,0,0,0,0
1,1,3,39,0,0,0,0
1,1,3,40,0,0,0,0
1,1,3,41,0,0,0,0
1,1,4,1,540000,540000,360000,360000
1,1,4,2,276514,276514,154000,154000
1,1,4,3,231000,231000,126632,126632
1,1,4,4,97168.9,97168.9,22000,22000
1,1,4,5,33000,33000,21682,21682
1,1,4,6,5267.42,5267.42,0,0
1,1,4,7,0,0,0,0
1,1,4,8,0,0,0,0
1,1,4,9,0,0,0,0
1,1,4,10,0,0,0,0
1,1,4,11,0,0,0,0
1,1,4,12,0,0,0,0
1,1,4,13,0,0,0,0
1,1,4,14,0,0,0,0
1,1,4,15,0,0,0,0
1,1,4,16,0,0,0,0
1,1,4,17,0,0,0,0
1,1,4,18,0,0,0,0
1,1,4,19,0,0,0,0
1,1,4,20,0,0,0,0
1,1,4,21,0,0,0,0
1,1,4,22,0,0,0,0
1,1,4,23,0,0,0,0
1,1,4,24,0,0,0,0
1,1,4,25,0,0,0,0
1,1,4,26,0,0,0,0
1,1,4,27,0,0,0,0
1,1,4,28,0,0,0,0
1,1,4,29,0,0,0,0
1,1,4,30,0,0,0,0
1,1,4,31,0,0,0,0
1,1,4,32,0,0,0,0
1,1,4,33,0,0,0,0
1,1,4,34,0,0,0,0
1,1,4,35,0,0,0,0
1,1,4,36,0,0,0,0
1,1,4,37,0,0,0,0
1,1,4,38,0,0,0,0
1,1,4,39,0,0,0,0
1,1,4,40,0,0,0,0
1,1,4,41,0,0,0,0
1,1,5,1,540000,540000,360000,360000
1,1,5,2,276991,276991,154000,154000
1,1,5,3,231000,231000,126255,126255
1,1,5,4,97893.4,97893.4,22000,22000
1,1,5,5,33000,33000,21675.1,21675.1
1,1,5,6,5326.39,5326.39,0,0
1,1,5,7,0,0,0,0
1,1,5,8,0,0,0,0
1,1,5,9,0,0,0,0
1,1,5,10,0,0,0,0
1,1,5,11,0,0,0,0
1,1,5,12,0,0,0,0
1,1,5,13,0,0,0,0
1,1,5,14,0,0,0,0
1,1,5,15,0,0,0,0
1,1,5,16,0,0,0,0
1,1,5,17,0,0,0,0
1,1,5,18,0,0,0,0
1,1,5,19,0,0,0,0
1,1,5,20,0,0,0,0
1,1,5,21,0,0,0,0
1,1,5,22,0,0,0,0
1,1,5,23,0,0,0,0
1,1,5,24,0,0,0,0
1,1,5,25,0,0,0,0
1,1,5,26,0,0,0,0
1,1,5,27,0,0,0,0
1,1,5,28,0,0,0,0
1,1,5,29,0,0,0,0
1,1,5,30,0,0,0,0
1,1,5,31,0,0,0,0
1,1,5,32,0,0,0,0
1,1,5,33,0,0,0,0
1,1,5,34,0,0,0,0
1,1,5,35,0,0,0,0
1,1,5,36,0,0,0,0
1,1,5,37,0,0,0,0
1,1,5,38,0,0,0,0
1,1,5,39,0,0,0,0
1,1,5,40,0,0,0,0
1,1,5,41,0,0,0,0
1,1,6,1,540000,540000,360000,360000
1,1,6,2,277184,277184,154000,154000
1,1,6,3,231000,231000,126101,126101
1,1,6,4,98187.7,98187.7,22000,22000
1,1,6,5,33000,33000,21672.3,21672.3
1,1,6,6,5350.36,5350.36,0,0
1,1,6,7,0,0,0,0
1,1,6,8,0,0,0,0
1,1,6,9,0,0,0,0
1,1,6,10,0,0,0,0
1,1,6,11,0,0,0,0
1,1,6,12,0,0,0,0
1,1,6,13,0,0,0,0
1,1,6,14,0,0,0,0
1,1,6,15,0,0,0,0
1,1,6,16,0,0,0,0
1,1,6,17,0,0,0,0
1,1,6,18,0,0,0,0
1,1,6,19,0,0,0,0
1,1,6,20,0,0,0,0
1,1,6,21,0,0,0,0
1,1,6,22,0,0,0,0
1,1,6,23,0,0,0,0
1,1,6,24,0,0,0,0
1,1,6,25,0,0,0,0
1,1,6,26,0,0,0,0
1,1,6,27,0,0,0,0
1,1,6,28,0,0,0,0
1,1,6,29,0,0,0,0
1,1,6,30,0,0,0,0
1,1,6,31,0,0,0,0
1,1,6,32,0,0,0,0
1,1,6,33,0,0,0,0
1,1,6,34,0,0,0,0
1,1,6,35,0,0,0,0
1,1,6,36,0,0,0,0
1,1,6,37,0,0,0,0
1,1,6,38,0,0,0,0
1,1,6,39,0,0,0,0
1,1,6,40,0,0,0,0
1,1,6,41,0,0,0,0
1,1,7,1,540000,540000,360000,360000
1,1,7,2,277263,277263,154000,154000
1,1,7,3,231000,231000,126038,126038
1,1,7,4,98308,98308,22000,22000
1,1,7,5,33000,33000,21671.2,21671.2
1,1,7,6,5360.16,5360.16,0,0
1,1,7,7,0,0,0,0
1,1,7,8,0,0,0,0
1,1,7,9,0,0,0,0
1,1,7,10,0,0,0,0
1,1,7,11,0,0,0,0
1,1,7,12,0,0,0,0
1,1,7,13,0,0,0,0
1,1,7,14,0,0,0,0
1,1,7,15,0,0,0,0
1,1,7,16,0,0,0,0
1,1,7,17,0,0,0,0
1,1,7,18,0,0,0,0
1,1,7,19,0,0,0,0
1,1,7,20,0,0,0,0
1,1,7,21,0,0,0,0
1,1,7,22,0,0,0,0
1,1,7,23,0,0,0,0
1,1,7,24,0,0,0,0
1,1,7,25,0,0,0,0
1,1,7,26,0,0,0,0
1,1,7,27,0,0,0,0
1,1,7,28,0,0,0,0
1,1,7,29,0,0,0,0
1,1,7,30,0,0,0,0
1,1,7,31,0,0,0,0
1,1,7,32,0,0,0,0
1,1,7,33,0,0,0,0
1,1,7,34,0,0,0,0
1,1,7,35,0,0,0,0
1,1,7,36,0,0,0,0
1,1,7,37,0,0,0,0
